"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"International Journal of Modern Anthropology","archeo/anthropo","African Journals Online","Non-profit","diamond_OA","African Journals Online","Non-profit","https://www.ajol.info/index.php/ijma","0","","none"
"International Journal of Nautical Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Nautical Archaeology Society","Society","https://www.tandfonline.com/RJNA","2710","","none"
"International Journal of Paleopathology","archeo/anthropo","Elsevier","For-profit","hybrid","Paleopathology Association","Society","https://www.sciencedirect.com/journal/international-journal-of-paleopathology","1910","","none"
"Internet Archaeology","archeo/anthropo","Department of Archaeology at the University of York","Non-profit","diamond_OA","Department of Archaeology at the University of York","Uni/Gov","https://intarch.ac.uk/","0","","PCI friendly"
"Journal de la Societe des Americanistes","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","Societe des Americanistes","Society","https://journals.openedition.org/jsa/","0","","none"
"Journal de la Societe des Oceanistes","archeo/anthropo","OpenEdition","Non-profit","subscription","Societe des Oceanistes","Society","https://journals.openedition.org/jso/1579","0","","none"
"Journal of Anthropological Sciences","archeo/anthropo","Istituto Italiano di Antropologia","Non-profit","OA","Istituto Italiano di Antropologia","Uni/Gov","https://www.jass-anthropology.com/home","500","","none"
"Journal of Comparative Psychology","archeo/anthropo","American Psychological Association","Non-profit","hybrid","American Psychological Association","Society","https://www.apa.org/pubs/journals/com","","0.581","none"
"Journal of Eastern Mediterranean Archaeology and Heritage Studies","archeo/anthropo","Penn State University Press","University Press","subscription","Penn State University","Uni/Gov","https://www.psupress.org/journals/jnls_jemahs.html","0","","none"
"Journal of Ethnobiology","archeo/anthropo","Sage journals","For-profit","hybrid","Society of Ethnobiology","Society","https://journals.sagepub.com/home/ebia","","0.557","none"
"Journal of Field Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Trustees of Boston University","Uni/Gov","https://www.tandfonline.com/journals/yjfa20","2710","","none"
"Journal of Iran National Museum","archeo/anthropo","Iran National Museum","Non-profit","diamond_OA","Iran National Museum","Museum","https://jinm.irannationalmuseum.ir/?lang=en","0","","PCI friendly"
"Journal of Lithic Studies","archeo/anthropo","University of Edinburgh","Non-profit","diamond_OA","University of Edinburgh","Uni/Gov","http://journals.ed.ac.uk/lithicstudies","0","","PCI friendly"
"Journal of Polynesian Archaeology and Research","archeo/anthropo","University of Hawai'i Press","University Press","diamond_OA","Easter Island Foundation + Society for Hawaiian Archaeology","Society","https://uhpress.hawaii.edu/title/jpar/","0","","none"
"Journal of Roman Studies","archeo/anthropo","Cambridge University Press","University Press","hybrid","Society for the Promotion of Roman Studies","Society","https://www.cambridge.org/core/journals/journal-of-roman-studies","2400","","none"
"Journal of the British Archaeological Association","archeo/anthropo","Routledge","For-profit","hybrid","British Archaeological Association","Society","https://www.tandfonline.com/YJBA","2710","","none"
"L'Anthropologie","archeo/anthropo","Elsevier","For-profit","hybrid","Institut de Paleontologie Humaine","Uni/Gov","https://www.sciencedirect.com/journal/lanthropologie","1500","","none"
"Latin American Antiquity","archeo/anthropo","Cambridge University Press","University Press","hybrid","Society for American Archaeology","Society","https://www.cambridge.org/core/journals/latin-american-antiquity","3064","","none"
"Levant","archeo/anthropo","Routledge","For-profit","hybrid","Council for British Research in the Levant","Society","https://www.tandfonline.com/journals/ylev20","2710","","none"
"Lucentum","archeo/anthropo","Universitad de Alicante","Non-profit","diamond_OA","Universitad de Alicante","Uni/Gov","https://lucentum.ua.es/","0","","none"
"Medieval Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","The Society for Medieval Archaeology","Society","https://www.tandfonline.com/journals/ymed20","2710","","none"
"Mitekufat Haeven: Journal of the Israel Prehistoric Society","archeo/anthropo","Israel Prehistoric Society","Non-profit","subscription","Israel Prehistoric Society","Society","https://www.prehistory.org.il/en/mitkufat-haeven/","0","","PCI friendly"
"Munibe. Antropologia-Arkeologia","archeo/anthropo","Sociedad de Ciencias Aranzadi Research Centre","Non-profit","diamond_OA","Sociedad de Ciencias Aranzadi Research Centre","Society","https://www.aranzadi.eus/munibe-antropologia-arkeologia","0","","none"
"Near Eastern Archaeology","archeo/anthropo","The American Society of Overseas Research","Non-profit","subscription","The American Society of Overseas Research","Society","https://www.asor.org/asor-publications/nea/","0","","none"
"Nyame Akuma Bulletin","archeo/anthropo","Society of Africanist Archaeologists","Non-profit","subscription","Society of Africanist Archaeologists","Society","https://www.africanistarchaeology.net/","0","","none"
"Oxford Journal of Archaeology","archeo/anthropo","Wiley","For-profit","hybrid","University of Oxford","Uni/Gov","https://onlinelibrary.wiley.com/journal/14680092","2170","","none"
"PALEO : Revue d'Archeologie Prehistorique","archeo/anthropo","Musee National de Prehistoire","Non-profit","diamond_OA","Musee National de Prehistoire","Museum","https://journals.openedition.org/paleo","0","","none"
"PaleoAnthropology","archeo/anthropo","University of Tübingen Library","Non-profit","diamond_OA","Paleoanthropology Society & ESHE","Society","https://paleoanthropology.org/ojs/index.php/paleo","","","none"
"Paleorient","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","Centre National de la Recherche Scientifique","Uni/Gov","https://journals.openedition.org/paleorient/","0","","none"
"Palestine Exploration Quarterly","archeo/anthropo","Routledge","For-profit","hybrid","Palestine Exploration Fund","Society","https://www.tandfonline.com/journals/ypeq20","2895","","none"
"Peer Community In Archaeology","archeo/anthropo","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://archaeo.peercommunityin.org/PCIArchaeology/about/about","0","","PCI"
"Plains Anthropologist","archeo/anthropo","Routledge","For-profit","hybrid","Plains Anthropological Society","Society","https://www.tandfonline.com/journals/ypan20","2895","","none"
"Post-Medieval Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","The Society for Post-Medieval Archaeology","Society","https://www.tandfonline.com/YPMA","2710","","none"
"Practica Arqeologica: revista de la asociacion de arqueologos profesionales de la republica argentina","archeo/anthropo","Asociacion de Arqueologos Profesionales de la República Argentina","Non-profit","diamond_OA","Asociacion de Arqueologos Profesionales de la Republica Argentina","Society","https://www.plarci.org/index.php/practica-arqueologica","0","","none"
"Praehistorische Zeitschrift","archeo/anthropo","De Gruyter","For-profit","subscription","Institut für Prahistorische Archaologie","Uni/Gov","https://www.degruyter.com/journal/key/prhz/html","0","","none"
"Prehistoires mediterraneennes","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","Laboratoire Mediterraneen de Prehistoire Europe Afrique","Uni/Gov","https://journals.openedition.org/pm/","0","","PCI friendly"
"Queensland Archaeological Research","archeo/anthropo","James Cook University","Non-profit","diamond_OA","College of Arts Society and Education","Uni/Gov","https://journals.jcu.edu.au/qar","0","","none"
"Revista del Museo de Antropologia","archeo/anthropo","Universidad Nacional de Cordoba","Non-profit","diamond_OA","Museo de Antropologia","Museum","https://revistas.unc.edu.ar/index.php/antropologia","0","","none"
"Southeastern Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Southeastern Archaeological Conference","Society","https://www.tandfonline.com/YSEA","2875","","none"
"Southern African Field Archaeology","archeo/anthropo","University of Johannesburg and Wenner-Gren Foundation","Non-profit","OA","University of Johannesburg and Wenner-Gren Foundation","Uni/Gov","https://journals.uj.ac.za/index.php/safa/aboutpage","","","none"
"Southern African Humanities","archeo/anthropo","KwaZulu-Natal Museum","Non-profit","subscription","KwaZulu-Natal Museum","Museum","https://www.sahumanities.org/index.php/sah/index","0","","none"
"SPAL - Revista de Prehistoria y Arqueologia","archeo/anthropo","Universidad de Sevilla","Non-profit","diamond_OA","Universidad de Sevilla","Uni/Gov","https://revistascientificas.us.es/index.php/spal/index","0","","none"
"Sudan & Nubia","archeo/anthropo","The Sudan Archaeological Research Society","Non-profit","subscription","The Sudan Archaeological Research Society","Society","http://www.sudarchrs.org.uk/resources/publications/journal/","0","","none"
"Techne","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","Centre de recherche et de restauration des musees de France","Uni/Gov","https://journals.openedition.org/techne/","0","","none"
"Tel Aviv","archeo/anthropo","Routledge","For-profit","hybrid","Institute of Archaeology of Tel Aviv University","Uni/Gov","https://www.tandfonline.com/journals/ytav20","2710","","none"
"The South African Archaeological Bulletin","archeo/anthropo","The South African Archaeological Society","Non-profit","subscription","The South African Archaeological Society","Society","https://www.archaeology.org.za/saab","0","","none"
"Theoretical Roman Archaeology Journal","archeo/anthropo","Open Library of Humanities","Non-profit","diamond_OA","Theoretical Roman Archaeology Conference","Society","https://traj.openlibhums.org/","0","","PCI friendly"
"Trabajos de Prehistoria","archeo/anthropo","CSIC","Non-profit","diamond_OA","Consejo Superior de Investogaciones Sientificas","Uni/Gov","https://tp.revistas.csic.es/index.php/tp","0","0.49","none"
"Vegetation History and Archaeobotany","archeo/anthropo","Springer","For-profit","hybrid","International Work Group for Palaeoethnobotany","Society","https://www.springer.com/journal/334","2590","1.02","none"
"Vestnik Archeologii  Antropologii i Etnografii","archeo/anthropo","Tyumen Scientific Centre SB RAS","Non-profit","diamond_OA","Tyumen Scientific Centre SB RAS","Uni/Gov","http://www.ipdn.ru/va-en/index-en.htm","0","","none"
"Virtual Archaeology Review","archeo/anthropo","Universidad Politecnica de Valencia","Non-profit","diamond_OA","Universitat Politecnica de Valencia","Uni/Gov","https://polipapers.upv.es/index.php/var","0","","none"
